CNPJ;UF;Ente Federativo;Regime
13807870000119;BA;Santaluz;RGPS
13913140000100;BA;Santana;RGPS
13627062000170;BA;Santanópolis;RGPS
14222566000172;BA;Santo Amaro;RGPS
13825476000103;BA;Santo Antônio de Jesus;RGPS
14042667000161;BA;Santo Estêvão;RGPS
13655436000160;BA;São Desidério;RGPS
16435547000150;BA;São Domingos;RGPS
13827027000102;BA;São Felipe;RGPS
13828389000100;BA;São Félix;RGPS
16430951000130;BA;São Félix do Coribe;RPPS
13830823000196;BA;São Francisco do Conde;RPPS
13891544000132;BA;São Gabriel;RGPS
14060602000149;BA;São Gonçalo dos Campos;RGPS
16429268000183;BA;São José da Vitória;RGPS
16443632000160;BA;São José do Jacuípe;RPPS
13825500000104;BA;São Miguel das Matas;RGPS
13831441000187;BA;São Sebastião do Passé;RGPS
13696257000171;BA;Sapeaçu;RPPS
13648480000143;BA;Sátiro Dias;RGPS
13040233000160;BA;Saubara;RGPS
14197628000133;BA;Saúde;RGPS
13922604000137;BA;Seabra;RGPS
13982616000157;BA;Sebastião Laranjeiras;RGPS
13988308000139;BA;Senhor do Bonfim;RGPS
13692736000110;BA;Sento Sé;RGPS
16417784000198;BA;Serra do Ramalho;RPPS
14222277000173;BA;Serra Dourada;RPPS
13627823000193;BA;Serra Preta;RGPS
13845086000103;BA;Serrinha;RGPS
14196703000141;BA;Serrolândia;RGPS
13927827000197;BA;Simões Filho;RGPS
16417792000134;BA;Sítio do Mato;RGPS
13452958000165;BA;Sítio do Quinto;RGPS
16444804000110;BA;Sobradinho;RGPS
13922554000198;BA;Souto Soares;RGPS
13655659000128;BA;Tabocas do Brejo Velho;RGPS
13676309000148;BA;Tanhaçu;RGPS
13225131000119;BA;Tanque Novo;RGPS
13627997000156;BA;Tanquinho;RGPS
13850342000142;BA;Taperoá;RGPS
13796016000102;BA;Tapiramutá;RPPS
13650403000128;BA;Teixeira de Freitas;RGPS
13824248000119;BA;Teodoro Sampaio;RGPS
13845466000130;BA;Teofilândia;RGPS
14196042000154;BA;Teolândia;RGPS
13824511000170;BA;Terra Nova;RGPS
14243463000199;BA;Tremedal;RGPS
13810312000102;BA;Tucano;RGPS
13698758000197;BA;Uauá;RGPS
13910690000168;BA;Ubaíra;RGPS
16137309000168;BA;Ubaitaba;RGPS
14235253000159;BA;Ubatã;RGPS
14140701000130;BA;Uibaí;RGPS
16449902000140;BA;Umburanas;RPPS
13672605000170;BA;Una;RGPS
13982632000140;BA;Urandi;RGPS
14160378000167;BA;Uruçuca;RGPS
13811807000156;BA;Utinga;RGPS
14235899000136;BA;Valença;RGPS
13845896000151;BA;Valente;RGPS
13896758000100;BA;Várzea da Roça;RGPS
13913389000108;BA;Várzea do Poço;RGPS
13231006000111;BA;Várzea Nova;RPPS
13460266000169;BA;Varzedo;RGPS
13891130000103;BA;Vera Cruz;RGPS
16412017000196;BA;Vereda;RGPS
14239578000100;BA;Vitória da Conquista;RGPS
14694517000132;BA;Wagner;RGPS
13348479000101;BA;Wanderley;RGPS
13758842000159;BA;Wenceslau Guimarães;RGPS
13880257000127;BA;Xique-Xique;RGPS
07411531000116;CE;Abaiara;RGPS
23555170000138;CE;Acarapé;RPPS
07547821000191;CE;Acaraú;RGPS
07847379000119;CE;Acopiara;RPPS
07568231000145;CE;Aiuaba;RPPS
07598626000190;CE;Alcântaras;RGPS
07385503000171;CE;Altaneira;RGPS
07891666000126;CE;Alto Santo;RPPS em Extinção
06582449000191;CE;Amontada;RPPS
07594500000148;CE;Antonina do Norte;RGPS
07438468000101;CE;Apuiarés;RGPS
07911696000157;CE;Aquiraz;RGPS
07684756000146;CE;Aracati;RPPS
07387392000132;CE;Aracoiaba;RPPS
23718356000160;CE;Ararendá;RGPS
07539984000122;CE;Araripe;RPPS
07387525000170;CE;Aratuba;RGPS
06748297000154;CE;Arneiroz;RGPS
07587983000153;CE;Assaré;RGPS
07978042000140;CE;Aurora;RGPS
07520224000173;CE;Baixio;RGPS
23444672000191;CE;Banabuiú;RGPS
06740278000181;CE;Barbalha;RGPS
